Timestamp,EEG Signal,Frequency,Amplitude
3.462,93.0,1.0,7294.026
3.462,93.0,2.0,2419.409
3.462,93.0,3.0,1354.8687
3.462,93.0,4.0,1881.3322
3.462,93.0,5.0,204.75673
3.462,93.0,6.0,1109.0911
3.462,93.0,7.0,740.21106
3.462,93.0,8.0,421.29224
3.462,93.0,9.0,830.2413
3.462,93.0,10.0,164.13458
3.462,93.0,11.0,574.4401
3.462,93.0,12.0,484.54807
3.462,93.0,13.0,183.39102
3.462,93.0,14.0,510.55716
3.462,93.0,15.0,157.75546
3.462,93.0,16.0,347.00137
3.462,93.0,17.0,343.72165
3.462,93.0,18.0,109.01553
3.462,93.0,19.0,366.2019
3.462,93.0,20.0,153.8706
3.462,93.0,21.0,228.39894
3.462,93.0,22.0,266.63382
3.462,93.0,23.0,67.70354
3.462,93.0,24.0,263.28268
3.462,93.0,25.0,136.72414
3.462,93.0,26.0,164.46512
3.462,93.0,27.0,210.57245
3.462,93.0,28.0,63.621994
3.462,93.0,29.0,198.9146
3.462,93.0,30.0,115.28458
3.462,93.0,31.0,133.30107
3.462,93.0,32.0,178.79395
3.462,93.0,33.0,66.71984
3.462,93.0,34.0,161.93561
3.462,93.0,35.0,111.251816
3.462,93.0,36.0,102.15679
3.462,93.0,37.0,141.33087
3.462,93.0,38.0,67.05186
3.462,93.0,39.0,134.95485
3.462,93.0,40.0,99.791504
3.462,93.0,41.0,93.13421
3.462,93.0,42.0,124.776054
3.462,93.0,43.0,69.039474
3.462,93.0,44.0,111.73077
3.462,93.0,45.0,89.86008
3.462,93.0,46.0,88.5554
3.462,93.0,47.0,104.93468
3.462,93.0,48.0,84.386345
3.462,93.0,49.0,124.9529
3.462,93.0,50.0,71.1648
3.462,93.0,51.0,49.405975
3.462,93.0,52.0,97.35246
3.462,93.0,53.0,48.52471
3.462,93.0,54.0,83.2672
3.462,93.0,55.0,74.23173
3.462,93.0,56.0,57.39033
3.462,93.0,57.0,85.31515
3.462,93.0,58.0,57.39103
3.462,93.0,59.0,75.0546
3.462,93.0,60.0,69.63309
3.462,93.0,61.0,56.09166
3.462,93.0,62.0,74.17806
3.462,93.0,63.0,59.885418
3.462,93.0,64.0,72.01052
3.462,93.0,65.0,66.20467
3.462,93.0,66.0,59.81581
3.462,93.0,67.0,68.52473
3.462,93.0,68.0,53.453953
3.462,93.0,69.0,66.79924
3.462,93.0,70.0,63.34194
3.462,93.0,71.0,57.2796
3.462,93.0,72.0,66.08639
3.462,93.0,73.0,55.813988
3.462,93.0,74.0,60.15046
3.462,93.0,75.0,55.9285
3.462,93.0,76.0,56.483307
3.462,93.0,77.0,62.00653
3.462,93.0,78.0,51.867195
3.462,93.0,79.0,60.701336
3.462,93.0,80.0,58.745716
3.462,93.0,81.0,53.63285
3.462,93.0,82.0,56.569496
3.462,93.0,83.0,49.68945
3.462,93.0,84.0,55.017113
3.462,93.0,85.0,52.112278
3.462,93.0,86.0,49.74748
3.462,93.0,87.0,56.905006
3.462,93.0,88.0,54.699963
3.462,93.0,89.0,54.670864
3.462,93.0,90.0,51.61327
3.462,93.0,91.0,51.182354
3.462,93.0,92.0,50.02843
3.462,93.0,93.0,48.058826
3.462,93.0,94.0,56.189472
3.462,93.0,95.0,51.909054
3.462,93.0,96.0,50.15443
3.462,93.0,97.0,53.900368
3.462,93.0,98.0,46.226154
3.462,93.0,99.0,50.06642
3.462,93.0,100.0,54.484776
3.462,93.0,101.0,51.39919
3.462,93.0,102.0,51.15866
3.462,93.0,103.0,49.25006
3.462,93.0,104.0,50.15098
3.462,93.0,105.0,52.612762
3.462,93.0,106.0,53.765736
3.462,93.0,107.0,52.09265
3.462,93.0,108.0,45.738277
3.462,93.0,109.0,46.08845
3.462,93.0,110.0,49.96127
3.462,93.0,111.0,46.400684
3.462,93.0,112.0,43.15198
3.462,93.0,113.0,46.92424
3.462,93.0,114.0,48.665493
3.462,93.0,115.0,47.62226
3.462,93.0,116.0,47.245033
3.462,93.0,117.0,47.053482
3.462,93.0,118.0,48.75794
3.462,93.0,119.0,46.159424
3.462,93.0,120.0,44.33901
3.462,93.0,121.0,49.113567
3.462,93.0,122.0,46.14954
3.462,93.0,123.0,43.865025
3.462,93.0,124.0,45.86424
3.462,93.0,125.0,43.24337
3.462,93.0,126.0,49.280777
3.462,93.0,127.0,50.62255
4.525,97.0,0.0,15621.0
4.525,97.0,1.0,6967.0513
4.525,97.0,2.0,3017.5032
4.525,97.0,3.0,573.3966
4.525,97.0,4.0,1869.265
4.525,97.0,5.0,946.03796
4.525,97.0,6.0,519.991
4.525,97.0,7.0,1121.008
4.525,97.0,8.0,415.2867
4.525,97.0,9.0,532.5159
4.525,97.0,10.0,737.6093
4.525,97.0,11.0,150.72809
4.525,97.0,12.0,497.2213
4.525,97.0,13.0,492.18503
4.525,97.0,14.0,36.27286
4.525,97.0,15.0,425.5918
4.525,97.0,16.0,346.6783
4.525,97.0,17.0,97.60291
4.525,97.0,18.0,361.54852
4.525,97.0,19.0,250.1901
4.525,97.0,20.0,155.34868
4.525,97.0,21.0,321.3161
4.525,97.0,22.0,148.08356
4.525,97.0,23.0,175.93352
4.525,97.0,24.0,268.7249
4.525,97.0,25.0,88.92498
4.525,97.0,26.0,184.12592
4.525,97.0,27.0,213.83456
4.525,97.0,28.0,64.85651
4.525,97.0,29.0,178.83167
4.525,97.0,30.0,167.65799
4.525,97.0,31.0,53.886868
4.525,97.0,32.0,176.4233
4.525,97.0,33.0,136.24986
4.525,97.0,34.0,80.19341
4.525,97.0,35.0,160.15681
4.525,97.0,36.0,104.099335
4.525,97.0,37.0,91.48241
4.525,97.0,38.0,146.70259
4.525,97.0,39.0,85.54535
4.525,97.0,40.0,96.87642
4.525,97.0,41.0,129.35716
4.525,97.0,42.0,74.508064
4.525,97.0,43.0,101.05235
4.525,97.0,44.0,105.89455
4.525,97.0,45.0,66.13352
4.525,97.0,46.0,89.0991
4.525,97.0,47.0,92.93908
4.525,97.0,48.0,66.73263
4.525,97.0,49.0,43.820133
4.525,97.0,50.0,200.87228
4.525,97.0,51.0,96.69437
4.525,97.0,52.0,119.65735
4.525,97.0,53.0,74.184494
4.525,97.0,54.0,75.6794
4.525,97.0,55.0,98.838455
4.525,97.0,56.0,65.48581
4.525,97.0,57.0,81.96369
4.525,97.0,58.0,90.3449
4.525,97.0,59.0,65.06048
4.525,97.0,60.0,78.58878
4.525,97.0,61.0,82.81324
4.525,97.0,62.0,63.342617
4.525,97.0,63.0,68.14373
4.525,97.0,64.0,74.65843
4.525,97.0,65.0,61.033802
4.525,97.0,66.0,72.21447
4.525,97.0,67.0,68.213875
4.525,97.0,68.0,55.51763
4.525,97.0,69.0,73.89016
4.525,97.0,70.0,63.17538
4.525,97.0,71.0,59.048584
4.525,97.0,72.0,69.00871
4.525,97.0,73.0,60.739433
4.525,97.0,74.0,62.13726
4.525,97.0,75.0,64.12337
4.525,97.0,76.0,56.679096
4.525,97.0,77.0,56.251194
4.525,97.0,78.0,64.43026
4.525,97.0,79.0,55.063538
4.525,97.0,80.0,61.65792
4.525,97.0,81.0,56.497143
4.525,97.0,82.0,54.47195
4.525,97.0,83.0,58.200214
4.525,97.0,84.0,57.380104
4.525,97.0,85.0,51.00622
4.525,97.0,86.0,55.655
4.525,97.0,87.0,50.35158
4.525,97.0,88.0,59.15802
4.525,97.0,89.0,57.151833
4.525,97.0,90.0,55.39877
4.525,97.0,91.0,52.93699
4.525,97.0,92.0,53.047283
4.525,97.0,93.0,59.09222
4.525,97.0,94.0,47.676884
4.525,97.0,95.0,53.791573
4.525,97.0,96.0,51.509666
4.525,97.0,97.0,51.22917
4.525,97.0,98.0,55.36164
4.525,97.0,99.0,44.965176
4.525,97.0,100.0,57.091938
4.525,97.0,101.0,52.681557
4.525,97.0,102.0,50.967014
4.525,97.0,103.0,51.995552
4.525,97.0,104.0,51.1117
4.525,97.0,105.0,49.11614
4.525,97.0,106.0,40.911674
4.525,97.0,107.0,53.444294
4.525,97.0,108.0,47.14223
4.525,97.0,109.0,50.959064
4.525,97.0,110.0,46.16227
4.525,97.0,111.0,51.30756
4.525,97.0,112.0,44.315266
4.525,97.0,113.0,53.98187
4.525,97.0,114.0,50.0172
4.525,97.0,115.0,50.200253
4.525,97.0,116.0,49.155037
4.525,97.0,117.0,50.255535
4.525,97.0,118.0,49.19398
4.525,97.0,119.0,54.16537
4.525,97.0,120.0,48.83339
4.525,97.0,121.0,51.656963
4.525,97.0,122.0,49.58801
4.525,97.0,123.0,46.52651
4.525,97.0,124.0,47.264336
4.525,97.0,125.0,53.49381
4.525,97.0,126.0,50.112377
4.525,97.0,127.0,52.15698
5.592,93.0,0.0,21682.0
5.592,93.0,1.0,2572.4194
5.592,93.0,2.0,2422.405
5.592,93.0,3.0,2185.9585
5.592,93.0,4.0,1879.0167
5.592,93.0,5.0,1513.459
5.592,93.0,6.0,1044.5087
5.592,93.0,7.0,811.4925
5.592,93.0,8.0,427.70035
5.592,93.0,9.0,99.32744
5.592,93.0,10.0,169.54602
5.592,93.0,11.0,367.3058
5.592,93.0,12.0,497.66238
5.592,93.0,13.0,510.7434
5.592,93.0,14.0,512.78766
5.592,93.0,15.0,447.69086
5.592,93.0,16.0,347.94754
5.592,93.0,17.0,224.37999
5.592,93.0,18.0,101.52351
5.592,93.0,19.0,35.367847
5.592,93.0,20.0,147.30023
5.592,93.0,21.0,223.48714
5.592,93.0,22.0,269.64926
5.592,93.0,23.0,281.68726
5.592,93.0,24.0,267.25095
5.592,93.0,25.0,216.16348
5.592,93.0,26.0,165.05928
5.592,93.0,27.0,107.04299
5.592,93.0,28.0,64.32326
5.592,93.0,29.0,79.105446
5.592,93.0,30.0,121.00916
5.592,93.0,31.0,151.70963
5.592,93.0,32.0,171.1847
5.592,93.0,33.0,174.6287
5.592,93.0,34.0,162.70778
5.592,93.0,35.0,138.58098
5.592,93.0,36.0,105.953995
5.592,93.0,37.0,83.50158
5.592,93.0,38.0,63.289246
5.592,93.0,39.0,76.66415
5.592,93.0,40.0,98.238205
5.592,93.0,41.0,115.193596
5.592,93.0,42.0,122.41115
5.592,93.0,43.0,128.57716
5.592,93.0,44.0,110.8724
5.592,93.0,45.0,100.84908
5.592,93.0,46.0,89.194984
5.592,93.0,47.0,82.4205
5.592,93.0,48.0,84.96183
5.592,93.0,49.0,92.86973
5.592,93.0,50.0,142.05792
5.592,93.0,51.0,93.40669
5.592,93.0,52.0,93.42477
5.592,93.0,53.0,91.521866
5.592,93.0,54.0,82.746445
5.592,93.0,55.0,68.01775
5.592,93.0,56.0,60.03678
5.592,93.0,57.0,59.393433
5.592,93.0,58.0,59.158474
5.592,93.0,59.0,65.56462
5.592,93.0,60.0,71.76146
5.592,93.0,61.0,76.63314
5.592,93.0,62.0,78.33964
5.592,93.0,63.0,75.910904
5.592,93.0,64.0,71.068405
5.592,93.0,65.0,61.798973
5.592,93.0,66.0,57.332962
5.592,93.0,67.0,56.95443
5.592,93.0,68.0,51.858345
5.592,93.0,69.0,59.409
5.592,93.0,70.0,63.19287
5.592,93.0,71.0,64.98402
5.592,93.0,72.0,67.18446
5.592,93.0,73.0,65.271164
5.592,93.0,74.0,60.13496
5.592,93.0,75.0,63.95874
5.592,93.0,76.0,53.904716
5.592,93.0,77.0,53.060204
5.592,93.0,78.0,50.60464
5.592,93.0,79.0,50.60093
5.592,93.0,80.0,57.269226
5.592,93.0,81.0,55.227177
5.592,93.0,82.0,57.82562
5.592,93.0,83.0,59.09403
5.592,93.0,84.0,55.47428
5.592,93.0,85.0,53.896114
5.592,93.0,86.0,51.99565
5.592,93.0,87.0,42.020565
5.592,93.0,88.0,53.997627
5.592,93.0,89.0,49.07902
5.592,93.0,90.0,51.061966
5.592,93.0,91.0,51.982082
5.592,93.0,92.0,49.633984
5.592,93.0,93.0,52.245823
5.592,93.0,94.0,57.04478
5.592,93.0,95.0,51.33094
5.592,93.0,96.0,51.653526
5.592,93.0,97.0,47.414043
5.592,93.0,98.0,45.070107
5.592,93.0,99.0,48.519222
5.592,93.0,100.0,57.77467
5.592,93.0,101.0,50.681953
5.592,93.0,102.0,48.887817
5.592,93.0,103.0,48.523556
5.592,93.0,104.0,49.293087
5.592,93.0,105.0,46.605133
5.592,93.0,106.0,62.263744
5.592,93.0,107.0,43.53865
5.592,93.0,108.0,44.91548
5.592,93.0,109.0,50.4785
5.592,93.0,110.0,51.440254
5.592,93.0,111.0,46.49296
5.592,93.0,112.0,42.272873
5.592,93.0,113.0,53.30568
5.592,93.0,114.0,49.31376
5.592,93.0,115.0,47.27243
5.592,93.0,116.0,45.283535
5.592,93.0,117.0,46.43899
5.592,93.0,118.0,44.903683
5.592,93.0,119.0,46.929787
5.592,93.0,120.0,47.579132
5.592,93.0,121.0,44.528316
5.592,93.0,122.0,47.63298
5.592,93.0,123.0,51.803
5.592,93.0,124.0,47.810226
5.592,93.0,125.0,55.36262
5.592,93.0,126.0,46.483307
5.592,93.0,127.0,43.821663
6.66,96.0,0.0,24308.0
6.66,96.0,1.0,1.8685538
6.66,96.0,2.0,5.691953
6.66,96.0,3.0,6.8307977
6.66,96.0,4.0,12.35593
6.66,96.0,5.0,23.818892
6.66,96.0,6.0,117.88676
6.66,96.0,7.0,44.80246
6.66,96.0,8.0,18.63637
6.66,96.0,9.0,15.241521
6.66,96.0,10.0,9.788599
6.66,96.0,11.0,9.392502
6.66,96.0,12.0,23.154415
6.66,96.0,13.0,22.299877
6.66,96.0,14.0,9.397665
6.66,96.0,15.0,5.2433286
6.66,96.0,16.0,8.843212
6.66,96.0,17.0,5.741035
6.66,96.0,18.0,10.472513
6.66,96.0,19.0,33.208855
6.66,96.0,20.0,6.7291946
6.66,96.0,21.0,5.856866
6.66,96.0,22.0,6.014612
6.66,96.0,23.0,3.6835463
6.66,96.0,24.0,6.168118
6.66,96.0,25.0,11.784301
6.66,96.0,26.0,2.2905204
6.66,96.0,27.0,1.6803752
6.66,96.0,28.0,4.9961085
6.66,96.0,29.0,0.6361081
6.66,96.0,30.0,4.0114994
6.66,96.0,31.0,20.582432
6.66,96.0,32.0,9.295474
6.66,96.0,33.0,4.3376365
6.66,96.0,34.0,4.356353
6.66,96.0,35.0,5.545478
6.66,96.0,36.0,6.1556807
6.66,96.0,37.0,14.273002
6.66,96.0,38.0,5.8020844
6.66,96.0,39.0,1.7453737
6.66,96.0,40.0,2.0569081
6.66,96.0,41.0,3.0307343
6.66,96.0,42.0,0.94622654
6.66,96.0,43.0,7.0514655
6.66,96.0,44.0,6.8529325
6.66,96.0,45.0,2.9945638
6.66,96.0,46.0,3.3426356
6.66,96.0,47.0,4.360267
6.66,96.0,48.0,6.605979
6.66,96.0,49.0,10.696876
6.66,96.0,50.0,184.70206
6.66,96.0,51.0,10.346032
6.66,96.0,52.0,3.3598862
6.66,96.0,53.0,4.3688335
6.66,96.0,54.0,2.907086
6.66,96.0,55.0,4.213412
6.66,96.0,56.0,16.013954
6.66,96.0,57.0,4.5593877
6.66,96.0,58.0,1.2232425
6.66,96.0,59.0,1.1944181
6.66,96.0,60.0,2.7903776
6.66,96.0,61.0,3.495317
6.66,96.0,62.0,9.331698
6.66,96.0,63.0,9.241283
6.66,96.0,64.0,4.007645
6.66,96.0,65.0,4.5112557
6.66,96.0,66.0,3.297812
6.66,96.0,67.0,3.3026567
6.66,96.0,68.0,6.3908005
6.66,96.0,69.0,1.8702059
6.66,96.0,70.0,2.8661072
6.66,96.0,71.0,0.73817813
6.66,96.0,72.0,2.489633
6.66,96.0,73.0,0.93679786
6.66,96.0,74.0,2.6243966
6.66,96.0,75.0,7.126815
6.66,96.0,76.0,2.1244628
6.66,96.0,77.0,1.5271869
6.66,96.0,78.0,1.9642278
6.66,96.0,79.0,1.2402965
6.66,96.0,80.0,2.661777
6.66,96.0,81.0,8.020625
6.66,96.0,82.0,1.4942682
6.66,96.0,83.0,1.5297707
